order_id,customer_id,amount,status,region,dt,updated_at
1001,C001,299.00,completed,east,2024-01-01,2024-01-01 10:00:00
1002,C002,150.50,completed,west,2024-01-01,2024-01-01 11:00:00
1003,C001,89.00,completed,east,2024-01-02,2024-01-05 19:00:00
1004,C003,420.00,completed,north,2024-01-02,2024-01-02 14:00:00
1005,C002,60.00,cancelled,west,2024-01-03,2024-01-03 08:00:00
1006,C004,310.00,completed,south,2024-01-03,2024-01-03 16:00:00
1007,C001,175.00,completed,east,2024-01-04,2024-01-04 10:30:00
1008,C003,95.00,completed,north,2024-01-04,2024-01-05 20:00:00
1009,C005,540.00,completed,east,2024-01-05,2024-01-05 09:45:00
1010,C004,220.00,completed,south,2024-01-05,2024-01-05 15:00:00
1011,C001,180.00,completed,east,2024-01-05,2024-01-05 18:00:00
